# key|material|stem|correct|correct reason|wrong~reason|wrong~reason|wrong~reason
3.2|自擬片段：他先能讀懂一句，再能解釋一段，終能把握全篇。|除句式相近外，判斷有層遞還須指出甚麼？|理解範圍由句到段再到篇逐步擴大|句、段、篇构成清楚的範圍遞升，並非只羅列三件事。|三種能力分屬彼此無關的學科~三者都屬閱讀理解，且有範圍層次。|三個分句都使用相同的字數~字數相同不是層遞條件，材料三句也不等字。|三個步驟的困難程度逐步降低~從一句到全篇是範圍擴大，不能倒說為降低。
3.3|自擬片段：我等着，等着，直到街燈一盞盞熄滅。|「等着，等着」的作用最恰當的是哪項？|反復同一動作，突出等待的持續|同詞連續再現，連同街燈熄滅，強調久候。|重複相同韻母，交代等待的地點~不是兩個異字組成疊韻詞；地點也非重複的作用。|並列三種行動，呈現活動的多樣~只有同一動作再現，並非三種行動。|倒置事件次序，先寫等待的結果~片段未先寫結果再回述，不能判作倒敘。
3.4|自擬片段：山外有路，路旁有河，河邊有家。|這段話主要依靠哪種銜接形成連貫？|以上句末詞接下句開頭|路／路、河／河首尾接續，屬頂真。|以各句末字押相同韻腳~句末路、河、家沒有以同韻為銜接依據。|以同一句子隔段重複再現~沒有整句再現，而是相鄰句首尾相接。|以相反觀念逐項並列對照~山路河家是空間聯繫，不是對立觀念。
4.0|「不以物喜，不以己悲。」|按互文理解，哪項翻譯最完整？|不因外物或個人遭遇而或喜或悲|上下句成分互相補足，物與己都統攝喜與悲。|不為外物高興，卻可為外物悲傷~割裂上下句，誤將未重複寫出的成分排除。|不為自己悲傷，卻可因得意而歡喜~同樣把己與喜拆開，未按互文補足。|先不為外物喜，後不為自己悲~互文不是先後兩階段的行為次序。
4.1|「尋尋覓覓，冷冷清清，淒淒慘慘戚戚。」|從詞語形式看，最直接的共同特點是甚麼？|相同字重疊成組，增強音節迴環|三組均有字詞直接重疊；具體情感作用還須連繫尋覓、冷清、淒慘。|不同字聲母相同，組成同類雙音詞~直接重疊是此處可見的依據，不能改說全部不同字雙聲。|每句末字轉作下一句的開首詞~覓不接冷、清不接淒，並非頂真。|相同整句在不同段落間隔再現~材料是同一處的疊字組合，不是隔段再現。
4.2|辨析資料：甲詞兩字聲母相同而韻母不同；乙詞兩字韻母相同而聲母不同。|哪項分類正確？|甲屬雙聲，乙屬疊韻|雙聲依聲母，疊韻依韻母；題目已提供判音資料，不需猜字形。|甲屬疊韻，乙屬雙聲~把聲母和韻母的判準倒置。|甲屬疊字，乙屬雙聲~聲母相同不等於字形重疊，乙也非聲母相同。|甲屬雙聲，乙屬疊字~乙只是韻母相同，不能因此判作同字重疊。
4.3|辨析資料：甲是相同字連用；乙是兩個不同字組詞，兩字韻母相同。|若要找「疊韻」，應選哪項？|乙，依據是兩字韻母相同|疊韻的條件是韻母相同，不是相同字重疊。|甲，依據是相同字連續出現~這是疊字的直接依據，未區別疊韻的語音條件。|甲，依據是詞語次序前後顛倒~材料沒有顛倒次序的描述。|乙，依據是兩字意思彼此相反~乙的已知條件是韻母相同，沒有反義資料。
5.0|自擬片段：甲「她是隊裏的定海神針」。乙「幾頂白帽正在廚房忙碌」，白帽指廚師。|兩處分別依據甚麼關係表意？|甲取相似作比；乙取服飾代人|甲以穩定作用相似作比；乙以實際服飾特徵代稱人物。|甲取服飾代人；乙取相似作比~兩者關係倒置；定海神針非服飾，白帽也不是比廚師外形。|甲乙都取相似作比~乙以帽代佩戴者，是關聯替代，不是相似。|甲乙都取部分代整體~甲不是用人物身體部分代稱全人，而是喻其作用。
5.1|自擬片段：甲並寫兩人的不同選擇及後果。乙詳寫眾人慌亂，以突出一人的鎮定。|哪項分析較準確？|甲重雙方差異；乙分主體與陪襯|甲並列比較，乙明確以眾人陪襯鎮定者；兩種分析重點不同。|甲只分析鎮定者；乙平列各人遭遇~甲未限定鎮定者，乙也不是平列各人而無主次。|甲以眾人襯一人；乙只比較時間~材料中兩段的關係被調換，且乙無時間比較。|甲乙都無須交代比較或襯托對象~對象與关系是分析成立的必需部分。
5.2|自擬片段：甲「何以進步？須反省昨日的錯誤。」乙「不反省錯誤，又怎能進步呢？」|甲乙的問句分別怎樣表意？|甲設問帶出方法；乙反問強調反省必要|甲自問自答，乙包含不反省便難進步的確定意思。|甲反問否定進步；乙設問等待答案~甲有實際解說方法，乙不是真的等待方法。|甲乙都在向讀者索取未知資料~兩句都不是資料詢問；甲引出自答，乙強化判斷。|甲乙都只表達作者尚未決定的疑慮~乙立場明確，甲也已提出方法。
5.3|自擬片段：從關心自己，到體諒家人，再到承擔社會責任，他的眼界逐漸拓寬。|若同時分析排比與層遞，哪项分工恰當？|排比看相近句式；層遞看關懷範圍擴大|兩者可以同時成立，但要分別指出形式與遞進尺度。|排比看句末押韻；層遞看同字重複~押韻與同字重複都不是這兩種手法的核心判準。|排比看時間倒置；層遞看對象相反~材料未倒敘，也不是對立對象的並列。|排比看主陪關係；層遞看引用來源~主陪屬襯托，引文來源亦非此處的遞進尺度。
5.4|自擬片段：甲明引古人一句話支持主張。乙只用古故事中的一個名稱寄託身世，未重述故事。|以下哪項分析最貼近材料？|甲援引言論；乙須連繫典故背景解意|甲著眼現成言論，乙以壓縮的典故引出背景意義。|甲須虛構故事；乙只需解釋字面名稱~引用不是虛構，乙恰需理解典故而非只看字面。|甲只看引文字數；乙只看名稱字音~兩者均未處理引文或典故如何表達內容。|甲乙都以是否標示作者姓名作唯一分類~標示出處不是唯一判準；須看材料如何被運用。
5.5|自擬片段：甲「慢慢地走，輕輕地說」。乙在首段和末段都寫「我仍在等待」。|從所述形式看，哪項分類最恰當？|甲有疊字；乙有間隔反復|甲直接重疊字詞，乙同一句跨位置再現。|甲有頂真；乙有連續反復~甲無首尾接詞，乙也非緊接重複。|甲有層遞；乙有對偶~甲沒程度次序，乙是同句再現而非兩句對稱。|甲有疊韻；乙有排比~材料重點不在韻母，也未提供三組並列句式。
5.6|自擬片段：甲早段提到一把缺齒鑰匙，後來憑它認出來訪者。乙先寫賽前緊張氣氛，再寫決賽。|甲乙的安排分別著重甚麼？|甲留下待應驗線索；乙為重點蓄勢|鑰匙後來被用來認人，是伏筆；賽前氣氛為決賽作鋪墊。|甲先概括全文；乙補充已結束事件~兩段均非這種總結或補敘安排。|甲為賽事蓄勢；乙留下認人的線索~把兩段的具體內容與功能倒置。|甲乙都以結尾重複首段原句為條件~伏筆鋪墊不以原句重複為必要條件。
5.7|自擬片段：甲敘述旅途時轉入童年往事，隨後回到旅途。乙事件結束後補說一人遲到的原因。|哪項判斷較準確？|甲是插敘；乙是補敘|甲暫離主線再回來，乙後補已提事件的資料。|甲是補敘；乙是倒敘~甲具有插入再回主線結構，乙未先結局後重述全程。|甲是順敘；乙是插敘~甲時間主線被暫停；乙是在事後補足原因。|甲是倒敘；乙是散敘~甲不以結局起首，乙也不是組織多件不連續事情。
6.0|自擬梗概：清晨接到任務，中午遇上困難，下午解決問題，傍晚回家。|這段梗概主要採用甚麼敘事順序？|順敘|事件依發生、發展到結束的時間先後排列。|倒敘~沒有先寫結果再回頭敘述。|插敘~沒有暫停主線插入另一片段。|散敘~不是把時間不連續的多件事按意義並置。
6.1|自擬梗概：開首寫多年後仍保存的獎牌，再回到初次參賽，依次寫訓練和比賽。|這種安排最主要的特點是甚麼？|先寫現況，再回述事件發展|獎牌的現況置前，再按先後補述如何得來，是倒敘。|按參賽時間一路寫到多年以後~這是順敘安排，與所給梗概次序相反。|在比賽主線中插入別人的故事~未提供主線中途插入他人故事的安排。|把互不相連的比賽按場地排列~梗概說的是一次參賽發展，非依場地散列。
6.2|自擬梗概：寫「我」走到舊校門，插入昔日上學一幕，再接着写當天參觀。|插入往事的安排如何影響敘述？|暫停當日主線，補出舊校的感情背景|插敘使舊校對「我」的意義具體，之後仍接回當日主線。|改以往事為起點，依年代重寫全部經歷~往事只是一幕，並未改成從童年起的完整順敘。|先交代參觀結果，再追問事件起因~開頭是到門口，並非先寫參觀結果。|刪去當日行程，使往事取代全文主線~梗概明示回到當天參觀，主線沒有被刪去。
6.3|自擬梗概：前文寫朋友缺席聚會，末段才交代他當日送家人到醫院。|末段補充最直接的作用是甚麼？|補足缺席原因，使前事得到解釋|資料在事件之後補入，解釋先前未明原因，屬補敘。|預告將來事故，使後文留下疑團~這是解釋已發生的事，而非預告未來。|重寫聚會全程，使次序回到開端~補充的是原因，沒有重述全程。|並列兩次聚會，使人物優劣形成對照~只涉及一次缺席，沒有两次聚會的比較。
6.4|自擬梗概：文章不依年月，選取童年、工作初期及近年的三件小事，共同寫母親的體貼。|這種材料組織方式的主要依據是甚麼？|事件時間不連續，但共同指向人物特點|三件事以意義相連而非依時序，從不同側面寫體貼，屬散敘。|由結局回到起因，再順述一件事情~所給是多件小事，不是倒敘一事全程。|觀察位置隨步行轉移而依次換景~材料並未按行走位置組織。|在同一天的主線裏暫插一段回憶~沒有同一天主線及插入後返回的結構。
6.5|自擬梗概：故事重點是兄弟和解；作者詳寫道歉時的對話，略寫兩人乘車赴約的經過。|這樣安排詳略的主要理由是甚麼？|對話呈現關係轉變，車程只作交代|詳略服務主題；關鍵轉變須具體，次要移動可略。|對話發生較遲，故所有後事都應詳寫~時間早晚不是詳略的根本判準。|乘車屬日常事，故日常內容都無價值~日常事也可切合主題，不能一概貶低。|對話字數較多，故篇幅長就能突出主旨~篇幅須服務有關內容，不是長本身即有效。
6.6|自擬片段：我站在門外，只聽到父親停了很久，卻不知道他在想甚麼。|這段第一人稱敘述呈現甚麼特點？|直接呈現我的感受，也保留所知限制|「我」能敘所聞，卻不確知父親內心，符合當事人視野。|能直接確定父親全部未說出的想法~片段明說不知道，不能視作全知。|必須排除其他人物的言語及行動~第一人稱仍可記所見所聞，非不能寫他人。|只能敘述現在，不能回憶往日經歷~人稱不限制只能寫現在。
6.7|自擬梗概：敘述者以「他」稱主人公，又交代主人公不在場時另一人的行動。|這種人稱安排較便於甚麼？|擴大敘述範圍，交代不同人物的行動|第三人稱可超出單一當事人在場範圍；具體知情程度仍看文本。|確保每句都出自主角亲口承認~第三人稱敘述不等於人物口供。|把所有事情限制在主角眼前~所給材料恰有主角不在場的事件。|使敘述者必然成為故事參與者~第三人稱不要求敘述者參與事件。
6.8|自擬情境：一段原以旁觀者寫「他」，中途突然出現「我很後悔」，卻未交代誰在說話。|最需要修正哪個問題？|交代視角轉換，讓「我」有所指|轉換人稱可以有表達作用，但須清楚交代身份，免混淆。|刪去全部感情詞，維持客觀語氣~問題在「我」身份不明，不在能否寫感情。|把所有動詞改成過去式，統一時間~時間一致不能解決人稱所指不清。|增加環境描寫，讓事件發生地更明確~地点清楚仍不能說明誰在後悔。
6.9|自擬梗概：全文以「初到時」「三年後」「離開前」三個時段串連同一人的成長。|串連材料的主要線索是甚麼？|時間推移|三個時間標記統攝成長事件，形成時間線索。|空間轉移~未以不同地點或位置作組織主軸。|物件流轉~梗概没有反覆流轉的核心物件。|景物形態~未按景物特徵組織材料。
6.10|自擬梗概：作者由校門走到操場，再到課室，所記往事隨位置改變而轉換。|文章主要以甚麼串連回憶？|空間位置的轉移|地點的先後帶動材料轉換，是空間線索。|各件往事發生的年月~往事依眼前位置引出，未按年月排序。|某件物品的製作過程~梗概沒有製作物品的過程。|人物情緒的由喜轉悲~沒有情緒變化作主軸的資料。
6.11|自擬梗概：文章圍繞一把舊傘，寫祖母替我遮雨、我替祖母撐傘，以及她離世後的保存。|舊傘在結構上主要有甚麼作用？|串連不同時期的人事，形成事物線索|傘反覆聯繫三段經歷，把情感材料組織起來。|標示固定觀察位置，形成定點寫景~傘不是固定觀察點，內容也以人事為主。|交代氣候成因，形成說明順序~材料沒在分析氣候成因。|列舉不同用品，形成分類說明~全文圍繞同一傘，而非分類多種用品。
6.12|自擬梗概：各段分寫一位老師在課室、家訪和同事相處中的表現，共同呈現其為人。|組織材料的中心線索是甚麼？|同一人物的行事與性格|材料雖場景不同，均圍繞老師形象，屬人物線索。|同一路程的地點變換~沒有一條遊覽路程串連各段。|同一器物的傳遞過程~没有核心器物的轉移。|同一天內的時刻推進~梗概未將事件限定同一天並按時刻排列。
6.13|自擬梗概：作者把幾次互不相連的旅程，按「期待—失望—理解」的心情變化組織。|這種安排主要靠甚麼保持連貫？|思想感情的發展|事件分散，但情緒與理解的演變構成連貫主軸。|旅程距離由近到遠~沒有提供距離遞進的安排。|交通工具由舊到新~未以交通工具更新組織材料。|各處景物由高到低~沒有觀察高度的排列。
7.0|自擬片段：他抿着嘴，捏緊信封，低聲說：「再給我一次機會。」|這段主要怎樣刻畫人物？|直接寫神態、動作和語言|材料直接呈現主角本身的表現，是正面描寫。|借旁人評語間接呈現性格~沒有旁人的評語。|借周圍景物暗示內心~沒有環境景物的陪襯。|借事情後果反推未寫的行為~行為已直接呈現，不是只寫後果。
7.1|自擬片段：她制服的袖口已磨白，衣領卻熨得平整。|這處外貌描寫較能支持哪項理解？|生活或較節儉，仍重視儀容整潔|磨白可反映衣物久用，熨平反映整理；推論限於材料可支持的程度。|出身必屬富戶，故衣物講究昂貴~沒有價格或出身證據，磨白也不支持昂貴新衣。|工作必然粗疏，故制服久未清理~衣領熨平反而顯示有整理，不能指作粗疏。|待人必然傲慢，故不願穿着新衣~外貌細節不足推定這種人際動機。
7.2|自擬片段：他先把唯一的乾衣披在弟弟身上，才擰乾自己的袖口。|這個動作先後最能突顯甚麼？|先照顧弟弟，再處理自己的需要|先後次序具體呈現照顧他人的取捨。|先顯示衣物珍貴，再要求弟弟歸還~沒有索回或價格的資料。|先掩飾自己害怕，再責怪弟弟~片段沒責怪言行或害怕證據。|先觀察天氣變化，再決定旅程~所寫動作圍繞衣物和照顧，沒有行程決策。
7.3|自擬片段：甲說「照我的話做，不用再問」，乙說「先說說你的理由，我們再決定」。|比較兩句對話，較有根據的判斷是甚麼？|甲傾向命令，乙願意聽取意見|語氣與內容顯示處理意見的不同方式；不必推定兩人全部性格。|甲知識必較豐富，乙能力必較低~說話方式不足證明知識及能力高低。|甲表面嚴厲卻較公正，乙表面客氣卻偏私~沒有公平結果的證據，推論越界。|甲與乙都已決定完全採納對方意見~甲不准再問，乙只是先聽理由，均非完全採納。
7.4|自擬片段：他想，若此刻開口，會不會又讓母親擔心？話到嘴邊，他仍嚥了回去。|前一句心理描寫如何解釋後一句行為？|揭示顧慮母親，說明沉默的原因|內心疑慮與未開口有因果聯繫。|交代母親指令，說明必須服從~這是他自己的顧慮，沒有母親命令。|證明已無話可說，說明記憶空白~他有話而吞回，不是想不起內容。|說明厭惡交談，概括一貫性格~只提供特定情境，不能概括一貫厭惡交談。
7.5|自擬片段：沒有直接描寫琴聲，只寫原本交談的人漸漸停下，連門邊的孩子也靜靜坐好。|這樣寫主要如何呈現琴聲？|借聽眾反應，側面顯出吸引力|由人的專注反應讓讀者感受琴聲吸引人，是側面描寫。|借演奏者獨白，正面交代技巧~沒有演奏者獨白或技術描寫。|借樂器外形，說明音量大小~材料沒樂器外形或音量數據。|借相反景象，證明音樂令人厭煩~聽眾靜聽的反應不支持厭煩。
7.6|「相如張目叱之，左右皆靡。」|若分析「左右皆靡」的側面作用，哪項最準確？|以左右退避突出相如的威勢|左右是反應者，相如是被突出的主體，主陪關係須分清。|以相如怒目突出左右的勇氣~左右退避不支持勇氣，且顛倒所問的襯托方向。|以秦王沉默突出相如的猶豫~引句沒有秦王沉默，也未呈現相如猶豫。|以趙王命令突出相如的服從~沒有趙王命令的材料。
7.7|自擬片段：他接到離別的信。窗外的雨一夜未停，巷子空蕩蕩的。|這處環境描寫較可能怎樣配合人物？|以陰雨空巷烘托離別後的孤寂|情境已交代離別，雨與空巷共同形成低沉孤清氛圍。|以巷子空闊反映人物事業得意~沒事業資料，空巷在此與離別相連。|以雨量大小證實離別發生日期~雨勢不能確定日期。|以街道景色直接引述來信內容~景物是敘述描寫，不是信中文字。
7.8|自擬片段：門前一張木凳，牆上兩件舊衣，桌邊坐着一個老人。|若從白描角度分析，哪項最恰當？|用簡潔質樸的特徵勾勒場景|片段不濃飾、不展開比喻，選少數具體物象勾勒。|用連串奇喻把場景寫得瑰麗~沒有連串比喻或濃烈色彩。|用內心獨白呈現人物的矛盾~未直接寫老人內心。|用精確數據解釋房屋的結構~數目只協助勾勒，不是結構說明。
7.9|自擬片段：作者用一整段細寫老人指節的裂紋、掌心的薄繭，以及握杯時微微的顫動。|與只寫「他伸手拿杯」相比，這樣寫的主要效果是甚麼？|細緻呈現手的形態與動作，使形象鮮明|多項具體細節帶出可感形象，屬細描的效果。|壓縮全部外貌，只留下事件輪廓~這反而增加外貌與動作細節。|打亂事件時間，使故事成為倒敘~增加細節不等於改變時序。|轉用旁人反應，使人物完全隱去~仍直接寫老人的手，不是只借旁人。
8.0|自擬片段：雲團翻過山脊，向谷底緩緩湧來。|這處描寫最直接突出了景物的甚麼？|移動方向與變化過程|「翻過」「湧來」賦予景物動態與方向。|固定位置與不變輪廓~動詞明顯呈現移動，不是固定不變。|氣味層次與觸摸感受~沒有嗅覺或直接觸感詞。|季節循環與年月更替~只寫眼前動態，未呈現四季或年月。
8.1|自擬片段：月下的石橋橫在水面，橋影清晰，四周寂然。|這段主要營造甚麼畫面？|靜止安謐的月夜橋景|石橋、清晰倒影及寂然均強調靜態氛圍。|急促變化的風雨景象~沒有風雨變動或急促動詞。|由春入冬的時間變遷~材料無跨季節描寫。|人群穿梭的熱鬧場面~沒有寫人群活動。
8.2|自擬片段：池面平如鏡，忽有一尾魚躍出，漣漪推開，又慢慢平復。|哪項分析最貼切？|動靜相間，呈現池面由靜到動再歸靜|魚躍與漣漪形成動態，前後平靜形成層次。|全段以靜態為主，沒有景物變化~魚躍和漣漪都是明確動態。|全段以動態為主，沒有寧靜背景~開首如鏡及末尾平復皆寫靜。|以魚的心情轉變交代池面變化~片段未把心理賦予魚，寫的是景象。
8.3|自擬片段：海面閃着銀光，浪聲貼近耳邊，腳下的沙粒微微發燙。|這段主要結合哪些感官？|視覺、聽覺、觸覺|銀光可見，浪聲可聞，沙粒發燙可觸；三種共同使場景具體。|視覺、嗅覺、味覺~沒有氣味或味道的描寫。|聽覺、味覺、觸覺~銀光屬視覺，材料沒有味覺。|視覺、聽覺、嗅覺~發燙屬觸覺，不是嗅覺。
8.4|自擬片段：作者仰看塔頂，再俯看階下人群，最後遠望城外群山。|這種描寫增加層次，主要因為甚麼？|視線由高低到遠近，呈現不同空間面貌|仰、俯、遠望提供不同觀察角度，形成空間層次。|材料由嗅覺轉到味覺，感受互相替換~所給均為觀看角度，沒有嗅味轉移。|景物由清晨寫到夜晚，呈現時間差異~沒有早晚時間安排。|作者把三個地點視作同一位置描寫~多角度可立足同處，重點是各方向面貌，非混為一點。
8.5|自擬梗概：一段同時寫操場旗幟、看台呼聲，以及跑手起步時的動作和緊張心情。|這種場面描寫的構成特點是甚麼？|在特定時地配合環境、人物活動與心態|幾種材料共同再現運動場當下情境及氣氛。|按人物一生的年月排列重大事件~只寫同一場面，不是生平敘述。|按各種運動器材的用途分類介紹~材料不是器材分類。|以結尾的結果代替現場的具體過程~片段正有具體場景、動作與心情。
8.6|自擬梗概：作者沿溪走進山谷，轉過石壁後見瀑布，再登到亭子俯看溪流。|判斷採用步移法，最直接的依據是甚麼？|觀察者移動，所見隨行程轉換|沿溪、轉壁、登亭是立足點轉換，景物依次呈現。|觀察者不動，只有視線改變方向~與所述行走登亭不符。|同一景物按季節變化反覆描寫~沒有四季或不同時間的比較。|景物按體積由小至大分項介紹~梗概未按體積大小排列。
8.7|自擬片段：他一直站在橋中央，先望近岸柳樹，再望遠處山影。|這裏的描寫方式應如何判斷？|定點描寫，位置不變而視線移動|固定的是立足點；近望遠望仍可轉換，不等於步移。|步移描寫，由近岸走到遠山~「一直站在橋中央」排除了走動。|隨時推移，由白晝轉到深夜~片段無時間轉移。|插敘描寫，由現在轉入往事~片段沒有轉入過去片段。
8.8|自擬梗概：文章依次寫同一棵樹春天抽芽、夏日成蔭、秋天落葉及冬日枝幹。|景物變化主要按甚麼組織？|時間推移|同一對象在四季的不同面貌依時序展開。|空間轉移~對象是同一棵樹，未按地點轉換。|人物更替~沒有以不同人物串連景物。|因果倒置~四季先後不是倒置因果的安排。
