# index|context reason|wrong~specific error|wrong~specific error|wrong~specific error
53|騷人由《離騷》的文學聯想指詩人，與遷客並列，非按「騷擾」拆字。|記錄政事的史官~史官職掌不等同詩人身分。|往來經商的旅客~商旅出現在後文，但不是騷人的詞義。|退居鄉里的隱者~詩人未必隱居，不能以仕隱身分替代。
55|「霪雨霏霏，連月不開」以連雨為語境，開解天氣放晴。|展開~不是把物件打開的動作。|開闊~不是形容視野的寬廣。|開始~連月不開不是指雨未開始。
57|「濁浪排空」形容波浪沖向天空，排具有推排直上的氣勢。|排除阻礙~把現代「排空」消除內容物的義帶入。|鋪滿水面~未呈現浪向上衝的方向。|排列成行~不是說波浪整齊列隊。
59|與「檣傾」相對，「楫摧」指船槳折斷，檣與楫是不同船具。|船帆~帆承風，非楫的字義。|船舷~舷是船身側邊，不是划行工具。|桅杆~這是前一字檣的意思，混淆了兩項。
62|「去國懷鄉」把離國都與思故鄉並列，國在此指朝廷所在國都。|邦國疆域~把特定都城擴大成整個國境。|故鄉村落~與後一「鄉」混同，不能說明並列關係。|受封領地~此處登樓者是遷客，沒有受封采邑語境。
65|「波瀾不驚」以波瀾為主體，驚指水勢起伏動盪，不是人的受驚心理。|使人驚懼~改成對旅人的使動作用，主體關係不對。|感到吃驚~把波瀾當作有心理的人。|突然醒來~不是從睡眠驚醒的用法。
66|「沙鷗翔集」以翔、集配合寫水鳥動靜，集是停棲。|群聚~群聚不精確呈現與翔相對的停落義。|迴翔~與翔重疊，忽略動靜交替。|聚攏材料~把鳥的行動誤作收集物品。
70|「此樂何極」問樂趣何有盡頭，極解窮盡，與地理上到達瀟湘不同。|到達~此處不是以某地作目的地。|極高~不是描述位置高低。|非常~不是修飾形容詞的程度副詞。
71|「把酒臨風」中的把是持起酒杯，後接酒，不是現代把字處置句。|掌管~不是管理酒的供應或分配。|把守~沒有防守對象。|處置~此處把本身是動詞，不是把某物怎樣處理的介詞。
72|「把酒臨風」寫端酒迎風，臨表示面對、迎着，而非將要發生。|將要~不是時間副詞。|治理~風不是可治理的地方，亦無官職語境。|居高俯視~此處方向是迎着風，不是特指從高向下看。
73|「予嘗求古仁人之心」以古仁人心境為探究對象，求解探求。|請求~不是要求古仁人給予某物。|謀取~不是追求名利所得。|苛求~不是責備古仁人未達要求。
75|「二者之為」承接前述登樓者的悲喜表現和心態，為在此是名詞性用法。|治理的方法~前兩者說覽物感受，不是兩套政務措施。|所做的功業~沒有以成就比較兩類登樓者。|形成情緒的原因~為指表現心態，不直接等同其成因。
76|與「江湖之遠」對舉，廟堂借指在朝廷任官的地位，不能只看祭祀建築。|宗廟祭堂~這是字面聯想，但此處以居朝與退處相對。|地方官署~不是泛指任何地方衙署，與在朝地位有別。|君主寢宮~朝廷議政層面不可窄化為私人寢宮。
78|「微斯人，吾誰與歸」問與誰同道，歸是歸依古仁人的理想，不是回鄉。|回到原處~沒有旅程目的地，重點是志同者。|歸還所有~歸後不是待歸還的物件。|歸結為因~不是作原因歸納。
80|「空山新雨後」的新修飾雨後時間，指剛剛下過雨。|新奇~不是形容雨罕見奇特。|更新~不是使山林變新的動作。|初次~剛下雨不等於當年第一次下雨。
81|「天氣晚來秋」說傍晚的秋意，晚為時段，而非遲於期限。|遲到~沒有約定期限或遲到者。|後來~不是與前一事件相對的籠統先後。|晚年~不是人生階段。
82|「清泉石上流」的清修飾泉水透明潔淨的狀態，解清澈。|清冷~冷暖感覺不是清的直接詞義。|清靜~把聲音環境的安靜代替水質。|清高~這是可延伸聯想的人格，不是直接詞義。
83|「竹喧歸浣女」以聲音帶出浣女歸來，喧指喧鬧。|爭吵~聲音熱鬧不代表發生爭執。|呼喊求救~未見危難或求援的語境。|低聲交談~與喧所示較熱鬧的聲響不符。
84|「歸浣女」寫浣女回來，歸為返回的動詞，與君子「誰與歸」不同。|歸依~不是認同某位同道。|出嫁~歸雖有女子出嫁義，此處是洗衣歸來。|歸還~此處沒待交還的物件。
85|浣女是洗衣女子；「浣」說其所從事的清洗，不是採蓮或捕魚。|採集~把山居人物工作混成採花草。|紡織~同涉衣物但浣指清洗，不是製作布匹。|縫補~也是衣物相關行動，卻不是浣的字義。
86|「蓮動下漁舟」以下寫漁舟順流而下，並非沉沒或漁人登岸。|逆流上行~與下的水流方向相反。|靠岸停泊~動句沒有停泊到岸的意思。|駛入水底~把順流運動誤作沉入水中。
87|「隨意春芳歇」把春芳消歇視作不妨，隨意解任憑，不是隨便處事的態度。|隨即~表示緊接發生，不能還原任憑春芳歇的讓步。|任性~評價人的行事，並非此處任憑的語氣。|隨心挑選~不是選哪一種春芳。
88|春芳與歇連用，指春天芳美的花草，而非香氣或某個人物。|春天香氣~花草可有香氣，但此處是花草本身的消歇。|春天風光~範圍過廣，未切「芳」所指花草。|春天時日~時間消逝不是芳的直接字義。
89|「春芳歇」以花草為主語，歇指凋謝消歇，不是人休息。|休息~把人的暫停活動義套在春芳。|停留~歇不是花草停留某地。|枯守~原句沒有守候的主體及目的。
90|王孫源於典故中對隱者的稱呼，此處詩人借以自指，反用不宜久留的原意。|受邀同遊的友人~本詩留山之意由詩人自述，非對一位同行者作記。|返鄉途中的官員~沒有官員歸程的文本依據。|洗衣歸來的山民~王孫的典故稱謂不指上句的浣女。
91|「自可留」中的自是自然、自可如此的副詞，表示山中足以留戀。|親自~不是由別人代替留下的主體區別。|從~不是引出出發點的介詞。|獨自~句中並非強調無人相伴地留山。
92|「獨酌無相親」說沒有親近的友伴相陪，為下文邀月對影作鋪墊。|同族親屬~相親在此不以血緣為唯一條件。|訂親對象~現代婚姻詞義不合獨酌邀月的語境。|親近自己的動作~此處「無相親」重在缺少相親者，不是禁止親近行為。
93|「月既不解飲」說月不懂飲酒，解以飲為內容，解懂得。|解除~沒有待消除的飲酒困擾。|解散~月不是被解散的群體。|解說~不是月向人講解飲酒知識。
94|「暫伴月將影」以月和影作伴，將在此為和，連接兩個對象。|將要~不是表示尚未發生的時間。|帶領~不能把影解成被帶領的隊伍。|拿取~句中不是抓取影子的動作。
95|「行樂須及春」勸趁着春光行樂，及指把握時機。|達到~不是以春作到達的地點。|比得上~沒有兩者高下比較。|等到~原句要趁時，不是延後至春才開始等待。
96|雲漢是銀河，與邈相配寫高遠的想像相期之境。|雲層~雲漢不是籠統的天空雲層。|漢水~雲漢與地上河流漢水不同。|星宿~銀河是天河之名，非某一顆星宿。
97|客心指客居異地的杜甫之心，與「傷」「萬方多難」連繫。|來訪賓客欣賞花色的心情~客在此自指羈旅詩人，不是泛指觀花遊客。|主人接待遠客時的心意~把羈旅者的身分換成主人。|同鄉得知戰事後的共同心情~詩句写自己的客心，未代表所有同鄉。
98|「萬方多難」將視野由個人客心擴至天下，萬方指各地。|遠方一帶~把廣大範圍縮成單一遠地。|四周方向~僅指登樓四周方位，未切天下多難的廣度。|眾多方法~把方誤當方法，而非地方。
99|「可憐後主還祠廟」對後主仍受祀發出感嘆，可憐解可嘆。|可愛~常見古義之一，但與此處感慨後主仍有祠廟不合。|值得效法~未把後主立為效法對象。|令人羨慕~詩中感慨不等同羨慕其福分。
100|「日暮聊為梁甫吟」中的聊表示姑且藉吟詩寄意，不是暢談或全然釋懷。|依賴~不是指生計所依。|樂意~聊含姑且排遣，不只是意願歡欣。|閒談~不是與別人交談的動詞。
101|「西山寇盜莫相侵」對侵略者作告誡，莫解不要，而非沒有人。|沒有~此處不是報告侵略未發生，而是勸戒。|大概~不是對是否侵犯作概率推測。|傍晚~時間詞暮的聯想不合此處動詞前的位置。
102|「千古風流人物」下接周郎與豪傑，指有功業才略的傑出英雄。|擅長詩文的歷代文士~範圍窄為文士，未扣周瑜等功業豪傑。|舉止瀟灑的當代遊人~錯在千古時代及人物功業的指向。|生活風雅的地方名流~風流不只生活情調，亦不是限於地方名流。
103|故壘是舊日軍營壁壘，與三國周郎赤壁的歷史聯想相連。|故鄉城郭~故指舊而非自己的故鄉。|新築營寨~把舊義改成新建。|陵墓墳丘~壘在此是軍事建築，不是墓葬。
104|「故國神遊」在赤壁懷古語境中指古戰場故地，不能逕套詞人故鄉。|詞人少年居住的故鄉~赤壁與周瑜的上下文指向古戰場，不是眉山。|被貶以前任職的京城~神遊在此接三國懷古，不是回想任職京城。|周瑜原來居住的家鄉~重點是赤壁歷史場景，非周瑜出生故里。
105|「早生華髮」說較早生出花白頭髮，與年輕英發的周瑜對照。|華麗髮飾~髮指頭髮本身，早生不是佩飾。|光澤黑髮~華在此花白，非青春烏亮。|稀疏脫髮~說的是髮色變白，不是脫落數量。
106|「一尊還酹江月」以酒灑向江月寄意，酹是灑酒祭奠，不等同飲盡。|斟酒奉客~沒有把酒奉給實際在座賓客。|舉杯對飲~與江月相對不等於實際共同飲酒。|飲酒排愁~可有感情作用，但酹本身是灑酒動作。
107|「乍煖還寒，最難將息」把冷暖變化與身心調養相连，將息指調養休息。|等待風停~不是把將當將要、息當風止來拆讀。|控制呼吸~将息在此不是特定呼吸動作。|安慰他人~調養的是詞人自身，沒有安慰對象。
108|「怎敵他晚來風急」以酒對風急，敵指抵擋，不是仇敵名詞。|敵視~不是對風懷有敵意。|匹配~不是把兩個數量配平。|進攻~方向是抵禦風寒，而非主動進攻。
109|黃花在此指菊花，置於秋日庭院及有誰堪摘的語境。|桂花~同為秋花，但黃花慣指菊花，非桂。|梅花~不能因下文寒意便移作梅花。|油菜花~同呈黄色不代表詩詞慣用名稱相同。
110|「這次第」總攝前述孤獨、風雨、花雁等光景，次第解情形。|先後順序~常見義但此處「這」總指目前光景，非排列次序。|下一階段~不是預告後續階段。|樓梯層級~與词中所述景情不合。
111|「怎一箇愁字了得」以反問說一個愁字不能概括眼前情境，了得解說盡。|承受得住~不是直接問身體能否承受。|事情結束~所問是愁字能否說盡，不是事件終止。|本領高強~現代「十分了得」的評語不合句法。
112|寶馬與雕車並列寫元夕出遊的豪華，寶為珍貴之意，馬是駿馬。|披甲戰馬~詞中寫遊樂車馬，非軍陣裝備。|驛站快馬~未以傳遞公文用途限定。|裝飾華美的馬車~把馬與下文雕車合併，詞義對象不準。
113|蛾兒與雪柳黃金縷並列寫女子的節日頭飾，以形制得名。|蛾形衣紋~圖案位置移到衣服，未切頭飾。|蛾形彩燈~把女子裝束混成前段燈景。|蛾形車飾~把頭飾移到遊車裝飾。
114|「尋他千百度」極言反覆尋找，度解次，千百不是精確統計。|沿一千條道路尋找~把次數誤作道路數。|在千百個日夜等待~把尋的反覆次數改成時間跨度。|達到某一固定程度~把度解作程度，忽略尋的動作次數。
116|「燈火闌珊處」是燈光稀疏暗淡之處，與前面繁盛燈景形成差別，非完全漆黑。|燈影搖曳不定~變動形態不能代替稀疏暗淡的意思。|燈光連綿密布~方向與闌珊的衰落疏淡相反。|燈火已經全熄~將稀疏暗淡誇大為全無。
119|「久處約」「長處樂」對舉困苦與安樂處境，樂不是音樂或以享樂為目標的行為。|行樂~改成主動尋歡的動作，不是所處境遇。|喜悅~僅指一時情緒，未切與困苦相對的生活處境。|樂於~通常後接所樂之事，此處不是這個結構。
120|富與貴分別關乎財富和地位，與貧、賤一一相對，不能合成同一義項。|財富充足、品德高尚~貴指地位顯貴，非道德高尚。|地位顯貴、財富充足~把富與貴的次序倒置。|學識豐富、地位顯貴~富在此與貧相對，指財富，不是學識。
121|「人之所欲」指人所嚮往想得到的事物，與所惡相對，不表示已擁有。|將要~欲可有將要義，但此处是人想取得富貴的願望。|需要~所欲不等於生存上必需。|擁有~把願望誤作已取得的事實。
124|「貧與賤…不去也」說不以不義方法擺脫貧賤，去是脫離擺脫。|前往~去不是朝貧賤走去的方向。|距離~不是兩地相距的用法。|拋棄仁德~在本句去的對象是貧賤，與後句去仁不同。
125|「君子去仁，惡乎成名」中的名承君子身分，指成就其實質相稱的君子之名。|獲得高官的稱號~官位名稱不能代替君子的道德名實。|取得眾人熟悉的聲名~知名度高不等於成其君子之名。|寫成流傳後世的名作~名不是名作，更沒有創作語境。
126|「無終食之間違仁」說不能片刻背離仁德，違解違背、離開。|延遲、耽誤~不是推遲某項行程。|相隔、遠望~不是空間距離上的相望。|迴避、推辭~不是婉辭別人的邀請或要求。
128|「己」是自己；克己是約束自身私欲。可說克制私欲，但不能因此把己直譯成順從欲望。|自己；克己是戰勝自身而不再求助別人~自我約束不等於拒絕求助他人。|自己；克己是要求自己成為眾人標準~原句强调復禮，不是以自身作他人標準。|自己；克己是抑制一切合禮的感情~克制私欲不是否定所有合禮感情。
130|非禮是言行不合禮的規範；四勿由此限定視聽言動，非否定全部禮制。|不是禮物~把行為規範之禮套成送禮物品。|沒有行禮~非禮不限於未作某個禮節動作。|不屬某種儀式~禮的範圍不僅儀式，還規範日常言行。
132|「回雖不敏，請事斯語」先謙稱不聰敏，再表示願實行；不敏不是拒絕或自暴自棄。|勤敏；不敏是拒絕繼續學習~後句正表示願奉行，非拒學。|敏捷；不敏是推說來不及行動~不是以動作慢作藉口。|敏銳；不敏是批評孔子教導不清~這是顏淵自謙，沒有責備老師。
134|志士與仁人並稱，突出有節操和道義追求者，不以任官或功名界定。|立志取得高官的人~有志向不必合道義，此處語境明指節操。|專注研習辭章的人~文藝專長不等同此處道德志向。|凡不計風險求名的人~敢冒險不等於為仁義取捨。
135|仁人由仁德界定，與求生害仁、殺身成仁相連，不能以外評或權位替代。|常受眾人稱讚的人~被稱讚不必實有仁德。|善於處理政務的人~行政能力不等同道德仁厚。|願為自己聲名犧牲的人~為名犧牲不等於成仁。
136|殺身在本句是犧牲自身生命以保仁德，與求生相對。|犧牲別人生命~把自身取捨移到傷害他人。|使身體受些磨鍊~程度由生命犧牲縮為鍛煉。|使自身名譽受損~身指生命，不是聲名。
139|樊遲問「何謂也」，接着孔子解釋無違所指的禮，何謂是問甚麼意思。|稱呼甚麼人~不是詢問一位人物的稱號。|誰先說的~不是詢問說話者身分。|為甚麼發問~不是追查孟懿子問孝的動機。
