# e|p|block|row(-1=text)|original-page|exact original quote|target|stem|correct|three specific alternatives
3|6|0|7|2|假輿馬者，非利足也，而致千里|借車馬|此例如何說明補足能力？|即使腳程不快，借車馬仍能到達遠處。|借車馬必先有最快腳力。~非利足否定此前提/人一坐車便腳真的變長。~成效來自工具不是器官改造/所有不快的人注定不能遠行。~而致千里提供反例
3|6|0|8|2|假舟楫者，非能水也，而絕江河|借舟楫|借船渡河與學習的關係怎樣理解？|借助條件可補不足，類推學習修身能取得成就。|非能水表明只能岸邊停留。~而絕江河明寫渡過/舟船用來證明任何學習都無必要。~喻借學習修身，非廢學/此例只研究船的構造，與君子無關。~後句善假於物歸結道理
3|6|0|9|3|積土成山，風雨興焉；積水成淵，蛟龍生焉|積累正面|由土水積累到「積善」，推論重點是甚麼？|由自然由小成大，推到善行累積成德。|只要移動泥土便必然成聖。~須類推人的積善，不是搬土直接成聖/積累再多都不能产生新效果。~成山成淵及生風雨蛟龍顯新效/善德只能天生，無須實踐。~積善成德強調後天累積
3|7|0|1|3|故不積跬步，無以至千里；不積小流，無以成江海|積累反面|兩個「不積」從哪角度補強上文？|從缺少積累便不能成功，說明積累是必要條件。|證明每次小步都是多餘。~小步正是必要積累/否定千里和江海可能形成。~否定的是無積累卻成功/主張只須想像目標而不行動。~需要實際積小成大
3|7|0|2|3|騏驥一躍，不能十步；駑馬十駕，功在不舍|駿劣馬比較|這組比較首先突出哪種學習態度？|持續不放棄能彌補資質不足，重在恆心。|天資好的只需努力一次。~一躍不能十步/劣馬因劣所以任何努力都無效。~功在不舍表持續的功效/只證明外貌美醜最重要。~比較能力與持續，非外貌
3|7|0|3|3|鍥而舍之，朽木不折；鍥而不舍，金石可鏤|鍥刻對照|朽木與金石的難易反差，凸顯甚麼？|能否堅持比材料難易更關鍵，不應半途而廢。|材料稍硬就必須放棄。~金石仍可鏤/只要選朽木，一刻便必然成功。~鍥而舍之朽木不折/雕刻成功全靠天生身份。~原句比較舍與不舍
3|7|0|4|4|用心一也|螾蟹比較|這組例子應與駑馬例分開指出哪個重點？|專一與浮躁導致不同結果，不能只泛答持久。|蟹因身體弱而不能覓食。~形體條件較強，問題在躁/蚯蚓憑優越爪牙取勝。~原文無爪牙之利/只要有很多腳便必然成功。~蟹足螯仍不能自居
3|8|0|-1|3|積善成德，而神明自得，聖心備焉|類比與比喻|同一例子為何可從類比及比喻兩角度分析？|形象作用與推論關係是不同分析層次，可同時成立。|只要是類比就絕不能有比喻。~分類角度可並存/只要寫自然就完全沒有論證。~自然例可支持積善道理/任何相鄰句都必定是合理類比。~仍須指出相同或相似性質
3|8|3|-1|2|君子生非異也，善假於物也|駢散與觀物|散句主張穿插偶句喻例，怎样配合說理？|散句突出主張，偶句與具體觀察使例證整齊生動而不散亂。|每個喻例只為堆砌景物無關主張。~各喻均扣學習/全篇只有整齊偶句，從無散句。~引文即主張散句/句式變化證明作者立場不一致。~風格變化不等於論點矛盾
4|6|0|1|1|吾為其無用而掊之|惠子用大|惠子判大瓠無用，顯示甚麼限制？|只用盛水作瓢等慣常用途衡量，未想其他用法。|已嘗試過所有可能用途才定論。~文中只寫兩種常用途/因大瓠容量太小不能盛物。~原文明言五石、呺然大/他毀瓠只因反對魏王。~未提供政治報復動機
4|6|0|2|3|何不慮以為大樽而浮於江湖|莊子答瓠|藥方故事後提出腰舟，有何論證安排？|先以同物異用鬆動成見，再把新觀點用回大瓠。|講完藥方便完全放棄回應惠子。~腰舟正回原難題/先否認藥有效，再主張大瓠無效。~能不龜手一也肯定藥效/直接要求惠子模仿打仗獲封。~應用是浮水用瓠，非強迫從軍
4|6|0|3|4|今子之言，大而無用，衆所同去也|樗與莊言|惠子如何借樗樹暗諷莊子？|以不合木工尺度的樹，比擬宏大卻不合世用的言論。|以樹的茂盛稱讚莊子人人歡迎。~匠者不顧眾所同去皆否定/認為莊子所言只談樹木種類。~以大樹喻言論，非限定內容/藉樹證明木工已接受莊子。~木工不顧恰被用作負面評價
4|6|0|4|5|無所可用，安所困苦哉|莊子答樗|無用如何在這輪問答轉成另一種價值？|不合木材用途便免砍伐，可讓人自在遊臥其下。|無用本身保證獲得君王封地。~封地屬藥方另用故事/只要不能製器就應立即焚毀。~這是單一尺度而非莊子觀點/所有有才者都必定遭死。~狸狌例示可能受害，非全稱命定
4|11|0|1|1|惠子謂莊子曰|問答論辯|兩輪問難與反駁的安排有何效果？|人物聲口分明，抽象思想藉交鋒具體呈現。|完全消除人物立場差異。~兩人同物異評才形成論辯/只記一方獨白，沒有回答。~莊子逐輪回应/照抄現實法庭紀錄，不能含寓言。~作品整體為寓言說理，不是庭審紀錄
4|11|0|2|2|聚族而謀曰|故事套故事|宋人聚族對話嵌於莊子敘述，有何作用？|在問答中再敘故事，增加層次並用具體結果說理。|插入毫無關係故事使論點失效。~藥方不同用途直接支持用大/證明宋人就是說話中的莊子本人。~敘述角色不同/只能增加字數，不能增趣味。~具體人物行動使抽象觀念可讀
4|11|0|3|4|吾有大樹，人謂之樗|角色例證|為何可說惠子舉自身經驗，又說全篇藉寓言說理？|前者着眼角色所述，後者着眼作品整體，層級不同。|兩個名稱必有一個錯。~不同層級可以同時成立/角色自述必能直接證實歷史全真。~文學敘述不能自動當外部史證/只要含人物就不存在說理作用。~人物故事正承載觀念
4|11|0|4|2|或以封，或不免於洴澼絖|同藥異用對照|宋人與客人的結果對照，應指出哪個共同點？|藥的防裂功效相同，用途不同而所得差別大。|只比較藥方真假，客方真宋方假。~同一藥方不作真假對比/只比兩人年齡，年長必勝。~來源未以年齡立論/客人毫無行動便自然得封。~說吳王率軍水戰是過程
4|11|0|5|3|則夫子猶有蓬之心也夫|比喻層次|分析蓬心等形象時，哪項界限應保留？|蓬心喻成見閉塞；象徵的引申不能代替名物字面詞解。|「斤斧」逐字只能譯成官場鬥爭。~官場爭害為引申，字面仍斧頭/「規矩」在原句绝不可能指量具。~木工量具是字面起點/所有象徵都必有且只有一種解釋。~書中對某些形象並列延伸解釋
4|11|0|6|5|其大若垂天之雲|明喻誇張|從「若垂天之雲」看，怎樣同時成立明喻與誇飾？|以雲喻巨大牛體，放大體量以突出它大卻不能捕鼠。|只要有若字就不能再有誇張。~兩者分析角度不互斥/原句證明牛會在雲中飛。~形象修辭不能當生物事實/描寫的是牛的膽量而非體形。~其大明示體量
4|11|0|7|4|其大本擁腫而不中繩墨，其小枝卷曲而不中規矩|對偶|幹與枝的相稱句式，如何加強描述？|並列兩部分不合標準的特徵，句式整齊且意思互補。|前句談树，後句忽轉人物身高。~兩句均樹的幹枝/僅重複相同字而沒有兩組內容。~幹枝及繩墨規矩有對應/兩句必須完全反義才可稱對偶。~對偶意思可相關而非必相反
4|11|0|8|5|無所可用，安所困苦哉|反問收束|末句的確定意思及作用是甚麼？|無世俗可用之處反免困害，用反問顛轉無用等於缺點的成見。|作者不知道結論，只求惠子答覆。~反問包含確定意思/確認無用必導致最大困苦。~疑問實意正相反/命令惠子禁止任何人休息。~前文正寫逍遙寢臥
5|23|1|1|13|拜相如為上大夫|完璧結局|完璧歸趙的結果如何推進相如的地位？|璧使安全返趙，相如升上大夫，為後來立功再升作前階。|此事後已直接升上卿而居廉右。~上卿是澠池後再升/秦已交城故相如失去玉璧。~城璧皆未交換/相如因失職被趙王免官。~原文以為賢大夫而授職
5|23|1|2|19|以相如功大，拜為上卿，位在廉頗之右|澠池與將相衝突|澠池功績如何連到後面的內部衝突？|立功晉升位次，觸發廉頗不服，事件因果相接。|三事件毫無聯繫，只按篇幅並列。~晉升是下一衝突直接因素/廉頗本已位在相如下，故無變化。~新位次引發不平/衝突是因秦王任命趙國上卿。~授官者為趙王
5|23|1|3|22|卒相與驩，為刎頸之交|將相和結局|廉藺衝突怎樣解決？|相如先國後私的理由被知曉，廉認錯請罪，終相和。|相如殺廉後獨掌軍政。~二人成友並非相殺/趙王以秦國軍隊強制調停。~原文無此介入/廉頗從未出現妒忌，故無須轉變。~前文公開揚辱是轉變起點
5|24|0|1|5|寧許以負秦曲|審勢負責|相如先答應交涉，怎样爭取弱國主動？|承認強弱現實，以秦不交城便理虧的條件明定責任。|認定趙軍必勝所以拒絕一切交涉。~原文秦強趙弱/先把失信責任全部歸趙。~目的在負秦曲/答應後無論是否交城都永久獻璧。~另有完璧承諾
5|24|0|2|6|璧有瑕，請指示王|取回璧計|假稱瑕疵取璧，再持璧倚柱，有何策略？|先取回可制衡秦王的璧，再利用秦惜璧心理據理抗爭。|承認趙送的是毫無價值假玉。~瑕是策略，不是證明假玉/主動毀掉唯一籌碼後再請求。~實際尚未碎璧/只是怕自己站得累而找柱休息。~持璧倚柱配合碎璧威脅
5|24|0|3|10|乃使其從者衣褐，懷其璧，從徑道亡|齋戒緩兵|要求五日齋戒與設九賓，如何配合送璧？|藉隆重禮節爭取時間，秘密遣從者送璧，自己承擔交涉風險。|齋戒保證秦王從此永不違約。~相如仍判其必負約/相如親自送璧而不再返回秦廷。~送者為從者，相如仍朝秦/五日只用於製造新玉璧。~原文無製璧行為
5|24|0|4|13|今殺相如，終不能得璧也，而絕秦趙之驩|利害說服|秦王最後不殺相如，反映甚麼？|他能衡量殺使無益且損邦交，故厚待遣返。|證明此前所有欺詐都不存在。~最後權衡不抹去早先傲慢/完全出於對相如私人友誼。~所列理由是得璧及邦交利害/表示十五城其實早已全交趙。~篇末明言秦未予城
5|25|1|1|15|三十日不還，則請立太子為王，以絕秦望|廉頗预案|三十日安排最能表現廉頗哪項特點？|預想扣王風險並準備對策，顯周密忠心。|只為趁機奪取王位。~立的是太子，非廉頗/因怯懦反對趙王任何出訪。~廉藺已勸王赴會/表明此計已在出發前執行。~原文只是附條件預案
5|25|1|2|17|秦王為趙王擊缻|外交記錄|相如要求秦擊缻並記錄，主要維護甚麼？|以對等行為和記錄反制令趙鼓瑟的尊卑安排。|只比哪一種樂器聲音更悅耳。~重心是國體對等/承認趙王比秦王低一等。~要求秦同樣為趙演奏/只要求刪去所有史官記錄。~要求趙御史書之，非禁記
5|25|1|3|17|請以秦之咸陽為趙王壽|對答與軍事|以咸陽回敬索城，與趙備兵如何相配合？|席間機智維持對等，後方兵力亦使秦不敢動。|相如已真把咸陽攻下送趙。~對答非實際割讓/有口才便不需任何軍事準備。~趙盛設兵為文本明示/秦索城是已達成的交換契約。~此為席間壽禮言語交鋒
5|25|4|1|19|且相如素賤人，吾羞，不忍為之下|廉頗不平|廉頗起初以甚麼尺度貶低相如？|看重武功和出身，輕視外交口舌之功及較低起點。|單純認為相如不會飲酒。~語言集中功勞地位/已充分理解外交與武功同樣重要。~正因輕視口舌而不服/厭惡相如先羞辱自己。~相如未先挑釁
5|25|4|2|21|徒以吾兩人在也|避讓原因|此句怎樣解釋相如避廉？|秦忌趙有二人合作，避免內鬥可保全國力。|趙是否安全只取決於相如一人。~吾兩人不可改成一人/相如因不敢面對秦王才避廉。~前文明言敢廷叱秦王/個人尊嚴在任何時候都必高於國事。~先國急後私讎正相反
5|25|4|3|21|廉頗聞之，肉袒負荊|知錯改過|廉頗行動如何體現人物轉變？|理解相如寬厚先國，從妒忌轉愧敬，親自認錯。|仍堅持挑釁，只以荊條毆相如。~负荊用以請罪/完全由秦王逼迫而無自省。~聞相如理由後主動前往/自始至終毫不關心個人位次。~前文位次之爭明顯
5|26|0|1|9|相如度秦王特以詐佯為予趙城|相如智謀|哪項行動最能結合判斷與對策說明智謀？|識秦假意給城，轉請齋戒以爭取安全送璧的時間。|只說相如聰明而不指出行動。~標籤不能代替證據/相信所有承諾而立即永久交璧。~與識詐相反/完全拒絕觀察秦王態度。~視無意償城與度其詐皆為觀察判斷
5|26|0|2|12|臣知欺大王之罪當誅，臣請就湯鑊|勇敢擔當|這句如何顯出相如的勇而不只是發怒？|願獨自承擔送璧後的危險責任，敢向秦王陳說。|把責任全部推給趙王以自保。~臣請就刑是自負責任/只靠大喊表示情緒，沒有承擔。~原句明言受刑/認為秦王毫無處刑能力所以不怕。~秦強趙弱風險真实
5|26|0|3|21|以先國家之急而後私讎也|愛國證據|用這句論證相如忠國，應把證據連到甚麼行動？|忍讓廉頗避免二虎相鬥，使對外抗秦力量保存。|凡說到國字便自動證明一切品德。~須交代言行與國家利益關係/只證明他厭惡所有私人友情。~後與廉成友，非拒絕友情/證明他只在出使時重國事，平日全無原則。~避廉就是內政中的先國後私
5|26|0|4|20|相如引車避匿|寬宏非畏懦|結合相如敢斥秦王，怎样理解避車？|有意克制私怨顧全大局，不是沒有勇氣。|一切退讓必等於膽怯。~需看原因與其他行動/相如打算秘密謀殺廉頗。~原文無謀殺且明示先國後私/避免見面表示他不知道廉頗是誰。~望見廉頗而避，已辨識對方
5|26|0|5|1|大破之，取陽晉|廉頗勇武|用開首敘述分析廉頗，哪項證據最直接？|攻齊獲勝取城並以勇氣聞諸侯，顯其善戰勇武。|相如說自己不怕秦王，所以廉頗必勇。~不是廉頗自身戰功證據/廉頗發怒就能證明每戰必勝。~怒與戰績不同/秦王擊缻證明廉頗口才最佳。~人物及行動錯配
5|26|0|6|15|以絕秦望|廉藺配合|廉的預案與相如會上應變怎樣互相配合？|前者防挾王，後者爭對等，文武各有作用。|兩人都只在宴會彈奏樂器。~廉在境上作預案/只有相如對安全有任何貢獻。~忽略廉頗周密安排/預案用來幫秦王控制趙國。~絕秦望正為阻止控制
5|26|0|7|19|我見相如，必辱之|廉頗性格變化|怎樣全面分析這次揚言與後來請罪？|早先狹隘率直，後來能知錯改過，不可概括成始終妒賢。|一直寬厚，從未不滿。~揚辱顯示初期狹隘/直到結尾仍毫無反省。~負荊自責顯示轉變/只有陰險，從不公開表態。~宣言毫不掩飾不滿
5|26|0|8|6|傳以示美人及左右|秦王傲慢|傳璧戲弄、又不提交城，怎样支持人物判斷？|對來使失禮且有欺詐傾向，須由行動而非空泛標籤說明。|只因他是秦王便可推一切惡行。~要憑文本，不能身份定罪/傳璧即等於已完成割城。~賞玩與履約不同/可由此斷定後來每次攻趙都為報復。~來源未證具體報復動機
5|26|0|9|13|不如因而厚遇之，使歸趙|秦王權衡|最後厚待遣返與早先傲慢能否並存？|能；同一人物可傲慢欺詐，也能在利害下務實選擇。|只要最後理性，前面行為便全部不存在。~後事不能抹去前事/既然曾傲慢，便不可能作任何理性判斷。~文本明列殺使无益的考慮/厚待證明秦已取得璧。~璧已返趙
5|26|0|10|15|趙王畏秦，欲毋行|趙王猶豫|這句顯示甚麼，同時須避免哪種過度推論？|顯示畏秦猶豫，卻不能否認後來願聽臣下建議。|猶豫表示從未聽從任何人。~後文王遂行/畏秦證明他已被秦擄走。~只是赴會前考慮/欲毋行表示他熱切爭先赴秦。~否定方向反讀
5|26|0|11|4|於是王召見|趙王善任|接納繆賢薦相如等情節，可怎樣評價趙王？|雖有猶豫，仍能聽建議、任用人才並論功授職。|所有決策都獨斷拒諫。~召見採納薦人是反證/只按出身高低拒絕門客出使。~相如門客亦被任用/任用相如表示廉頗軍事作用全被否定。~後文廉仍參與赴會準備
